experiment,iterations,exploration_weight,rollout_policy,value_model,value_depth,games_per_side,total_games,mcts_wins,heuristic_wins,ties,mcts_win_rate,mcts_win_ci95,tie_rate,avg_moves,seconds_per_game,seconds_per_move,mcts_seconds_per_move,simulations_per_mcts_move
rollout-policy-sweep,100,1.4142135623730951,random,,-1,30,60,20,40,0,0.3333333333333333,0.11928180141223617,0.0,17.366666666666667,0.3500056465544427,0.02012655869548186,0.03993472844080696,100
rollout-policy-sweep,100,1.4142135623730951,heuristic,,-1,30,60,55,5,0,0.9166666666666666,0.06993515515051016,0.0,21.083333333333332,6.851160764535113,0.32492226374560135,0.6365470391636815,100
rollout-policy-sweep,100,1.4142135623730951,value,outputs/value_models/connect4_value_model_200g.npz,8,30,60,28,31,1,0.4666666666666667,0.126235992989028,0.016666666666666666,17.75,0.21528074021916838,0.012097856114474191,0.023521244428969596,100
