experiment,iterations,exploration_weight,rollout_policy,value_model,value_depth,games_per_side,total_games,mcts_wins,heuristic_wins,ties,mcts_win_rate,mcts_win_ci95,tie_rate,avg_moves,seconds_per_game,seconds_per_move,mcts_seconds_per_move,simulations_per_mcts_move
rollout-policy-sweep,100,1.4142135623730951,random,,-1,100,200,86,113,1,0.43,0.06861399857172004,0.005,17.06,0.3758461989852367,0.02199093322894003,0.04341285523581371,100
rollout-policy-sweep,100,1.4142135623730951,heuristic,,-1,100,200,188,12,0,0.94,0.032913997022543474,0.0,19.51,6.601916593562928,0.3383554849401725,0.6610739479780916,100
rollout-policy-sweep,500,1.4142135623730951,random,,-1,100,200,172,26,2,0.86,0.048089949053830364,0.01,19.355,1.893321598317125,0.09778901805796977,0.19126199369462119,500
rollout-policy-sweep,500,1.4142135623730951,heuristic,,-1,100,200,196,4,0,0.98,0.01940301007575887,0.0,21.84,30.678233107709676,1.4046500009706493,2.7482187103980396,500
